Sno,Order Id,Order Date,Delivery Status,Payment Method,Source,Amount,Rejection Reason,,,,,,
67,1348622931,"12:21 AM, October 23 2018",Delivered,COD,Zomato,₹170,,,,,,,
68,1274337603,"03:44 AM, October 22 2018",Delivered,Online,Zomato,₹288,,,,,,,
69,1034115273,"03:15 AM, October 22 2018",Rejected,COD,Zomato,₹397,Food not delivered,,,,,,
70,1580774277,"02:50 AM, October 22 2018",Delivered,Online,Zomato,₹124,,,,,,,
71,1641877618,"02:45 AM, October 22 2018",Delivered,COD,Zomato,₹185,,,,,,,
72,1124722172,"02:12 AM, October 22 2018",Delivered,COD,Zomato,₹145,,,,,,,
73,1679457856,"01:16 AM, October 22 2018",Delivered,Online,Zomato,₹190,,,,,,,
74,1356201742,"01:08 AM, October 22 2018",Delivered,Online,Zomato,₹430,,,,,,,
75,1125527951,"01:06 AM, October 22 2018",Delivered,Online,Zomato,₹152,,,,,,,
76,1114116271,"12:16 AM, October 22 2018",Delivered,Online,Zomato,₹182,,,,,,,
77,1135285446,"02:21 AM, October 21 2018",Rejected,COD,Zomato,₹228,Food not delivered,,,,,,
78,1469495333,"02:12 AM, October 21 2018",Delivered,COD,Zomato,₹240,,,,,,,
79,1065691200,"02:01 AM, October 21 2018",Delivered,Online,Zomato,₹200,,,,,,,
80,1457421100,"01:14 AM, October 21 2018",Delivered,Online,Zomato,₹190,,,,,,,
81,1381601505,"01:07 AM, October 21 2018",Rejected,COD,Zomato,₹276,Food not delivered,,,,,,
82,1122353524,"12:36 AM, October 21 2018",Delivered,Online,Zomato,₹168,,,,,,,
83,1249469308,"12:13 AM, October 21 2018",Delivered,COD,Zomato,₹540,,,,,,,
84,1671855790,"03:33 AM, October 20 2018",Delivered,COD,Zomato,₹129,,,,,,,
85,1402155347,"02:31 AM, October 20 2018",Delivered,COD,Zomato,₹265,,,,,,,
86,1344005906,"02:24 AM, October 20 2018",Delivered,COD,Zomato,₹130,,,,,,,
87,1529077367,"02:15 AM, October 20 2018",Delivered,COD,Zomato,₹364,,,,,,,
88,1660324560,"01:54 AM, October 20 2018",Delivered,COD,Zomato,₹190,,,,,,,
89,1526418466,"12:57 AM, October 20 2018",Rejected,COD,Zomato,₹284,Customer non-responsive | 60% of order amount will be refunded,,,,,,
90,1523794818,"12:57 AM, October 20 2018",Delivered,COD,Zomato,₹150,,,,,,,
91,1138473163,"11:19 PM, October 19 2018",Delivered,COD,Zomato,₹300,,,,,,,
92,1347320760,"11:07 PM, October 19 2018",Delivered,COD,Zomato,₹130,,,,,,,
93,1093241170,"11:07 PM, October 19 2018",Delivered,COD,Zomato,₹130,,,,,,,
94,1405490680,"10:10 PM, October 19 2018",Delivered,COD,Zomato,₹130,,,,,,,
95,1340890597,"10:01 PM, October 19 2018",Delivered,COD,Zomato,₹170,,,,,,,
96,1286143020,"09:52 PM, October 19 2018",Delivered,COD,Zomato,₹160,,,,,,,
97,1495548047,"09:47 PM, October 19 2018",Delivered,COD,Zomato,₹746,,,,,,,
98,1083894518,"03:13 AM, October 19 2018",Delivered,COD,Zomato,₹375,,,,,,,
99,1149226356,"02:47 AM, October 19 2018",Rejected,COD,Zomato,₹150,Food not delivered,,,,,,
100,1686268883,"12:51 AM, October 19 2018",Delivered,COD,Zomato,₹198,,,,,,,
101,1481842431,"12:46 AM, October 19 2018",Delivered,COD,Zomato,₹152,,,,,,,
102,1207031051,"12:33 AM, October 19 2018",Delivered,COD,Zomato,₹177,,,,,,,
103,1481852999,"03:52 AM, October 18 2018",Delivered,COD,Zomato,₹152,,,,,,,
104,1107153765,"03:49 AM, October 18 2018",Delivered,COD,Zomato,₹275,,,,,,,
105,1138830719,"03:44 AM, October 18 2018",Delivered,COD,Zomato,₹218,,,,,,,
106,1657997854,"03:43 AM, October 18 2018",Delivered,COD,Zomato,₹129,,,,,,,
107,1242639015,"03:12 AM, October 18 2018",Delivered,COD,Zomato,₹190,,,,,,,
108,1346082036,"02:20 AM, October 18 2018",Delivered,COD,Zomato,₹164,,,,,,,
109,1457223432,"01:45 AM, October 18 2018",rejected,COD,Zomato,₹744,Merchant agreed cancellation,,,,,,
110,1377389738,"01:40 AM, October 18 2018",Delivered,COD,Zomato,₹130,,,,,,,
111,1691155017,"01:12 AM, October 18 2018",Delivered,COD,Zomato,₹372,,,,,,,
112,1687621018,"01:04 AM, October 18 2018",Delivered,COD,Zomato,₹184,,,,,,,
113,1202791111,"12:59 AM, October 18 2018",Delivered,COD,Zomato,₹150,,,,,,,
114,1586800896,"12:25 AM, October 18 2018",Delivered,COD,Zomato,₹160,,,,,,,
115,1566785022,"12:12 AM, October 18 2018",Delivered,COD,Zomato,₹200,,,,,,,
116,1321230064,"12:09 AM, October 18 2018",Delivered,COD,Zomato,₹150,,,,,,,
